,date,likes,comments_num,posts_num,Adj Close,Volume,comments_lm_pos,comments_lm_neg,comments_lm_pol,comments_lm_subj,comments_hiv4_pos,comments_hiv4_neg,comments_hiv4_pol,comments_hiv4_subj,comments_vader_neg,comments_vader_compound,comments_vader_pos,comments_vader_neu,emojs,emojs_count,emoj_avg,emoj_sum
0,2020-03-09,1,0,1,3.7,2732000.0,4470,12042,-0.4585755813675766,0.0737989568385433,41643,30738,0.1506610850893099,0.3235006234817469,0.154,1.0,0.169,0.676,0,0.0,0.0,0.0
1,2020-03-10,5,0,5,4.23,4863200.0,2980,8028,-0.4585755813536904,0.0738138025368545,27762,20488,0.1507564766808133,0.3235388783069794,0.154,1.0,0.169,0.676,0,0.0,0.0,0.0
2,2020-03-11,1,65,1,4.14,4414100.0,5945,16611,-0.472867529682884,0.0838030131333848,50080,38425,0.1316874752823943,0.3288253980036453,0.141,1.0,0.169,0.69,0,0.0,0.0,0.0
3,2020-03-12,1,0,1,3.98,5123400.0,1491,4020,-0.4589003809727998,0.0738581537461957,13892,10248,0.1509527754701345,0.3235231049597469,0.154,0.9999,0.169,0.676,0,0.0,0.0,0.0
4,2020-03-13,2,47,2,4.59,5787200.0,5712,15618,-0.4644163150274535,0.0839929119902185,47438,36474,0.1306606921521277,0.3304272494572536,0.143,1.0,0.164,0.692,0,0.0,0.0,0.0
5,2020-03-16,3,28,3,4.37,4866700.0,5493,15475,-0.4760587561772196,0.0843460246582419,46450,36115,0.1251741052488927,0.3321265512165082,0.143,1.0,0.164,0.693,0,0.0,0.0,0.0
6,2020-03-18,4,1,4,3.77,3651700.0,5647,15305,-0.4609583810394732,0.0843033665816968,46454,35707,0.1308041528203064,0.3305865264279684,0.145,1.0,0.161,0.695,0,0.0,0.0,0.0
7,2020-03-19,1,7,1,4.19,5039500.0,5490,15355,-0.4732549771900573,0.0846655618914206,46082,35556,0.1289350547523342,0.3315868141852626,0.143,1.0,0.163,0.695,0,0.0,0.0,0.0
8,2020-03-20,55,359,11,3.76,7722200.0,5607,15586,-0.4708630207865397,0.0840095295098327,47129,36336,0.1293116875321474,0.3308571405906756,0.15,-1.0,0.156,0.694,0,0.0,0.0,0.0
9,2020-03-21,5,106,5,3.76,7722200.0,5691,16027,-0.4759185928503583,0.0841388341123576,48159,37043,0.1304664209745021,0.3300855025343537,0.147,1.0,0.157,0.695,0,0.0,0.0,0.0
10,2020-03-22,7,70,7,3.76,7722200.0,5461,15360,-0.4754334565834766,0.0844905246922676,46231,35762,0.1276816313572173,0.3327232885592958,0.145,1.0,0.162,0.693,0,0.0,0.0,0.0
11,2020-03-24,1,81,1,4.16,6805600.0,5767,16056,-0.4714750492383506,0.0836104640467586,48676,37541,0.1291508635172976,0.3303232084827656,0.148,1.0,0.161,0.691,0,0.0,0.0,0.0
12,2020-03-25,3,135,3,4.17,3592100.0,8319,21237,-0.4370686154947534,0.0735963505610773,71292,52464,0.1521380781525571,0.308160439844251,0.156,1.0,0.199,0.645,0,0.0,0.0,0.0
13,2020-03-26,35,131,4,4.41,6185700.0,6290,16572,-0.449741929820237,0.081808064867899,52249,39158,0.143216602665625,0.3270855474315478,0.146,1.0,0.166,0.688,0,0.0,0.0,0.0
14,2020-03-27,9,91,6,4.22,7024800.0,5643,15254,-0.4599224768885523,0.08431853579378,46308,35622,0.1304284144985911,0.3305841813458581,0.146,1.0,0.16,0.694,"['🌈', '🐻']",2.0,0.0,0.0
15,2020-03-28,2,0,2,4.22,7024800.0,1493,4020,-0.4583711227175093,0.0738770368772261,13909,10246,0.1516456220181475,0.3236894296697619,0.142,1.0,0.18,0.678,0,0.0,0.0,0.0
16,2020-03-29,1,0,1,4.22,7024800.0,1492,4020,-0.458635703835516,0.0738725457337817,13906,10244,0.1516356107597666,0.3236614621681477,0.142,1.0,0.18,0.678,0,0.0,0.0,0.0
17,2020-03-30,1,0,1,3.65,3350600.0,1492,4022,-0.4588320637542923,0.073879547128373,13912,10250,0.1515603012932886,0.3237355128247641,0.142,1.0,0.18,0.678,0,0.0,0.0,0.0
18,2020-03-31,1,1,1,3.5,2300900.0,5796,16447,-0.4788472777737334,0.0843448419692306,49068,37637,0.1318378409534417,0.3287829664587574,0.142,1.0,0.164,0.694,0,0.0,0.0,0.0
19,2020-04-01,1,2,1,3.25,4568700.0,2985,8038,-0.4584051528206109,0.0738866396756181,27793,20492,0.1512063787894541,0.3236520363546421,0.154,1.0,0.169,0.676,0,0.0,0.0,0.0
20,2020-04-02,1,0,1,2.85,4064300.0,1492,4022,-0.4588320637542923,0.073879547128373,13912,10250,0.1515603012932886,0.3237355128247641,0.154,0.9999,0.169,0.676,0,0.0,0.0,0.0
